,result
483,contradiction
484,entailment
485,neutral
486,neutral
487,entailment
488,entailment
489,entailment
490,contradiction
491,entailment
492,contradiction
493,neutral
494,entailment
495,entailment
496,entailment
497,contradiction
498,neutral
499,entailment
