,sentence1,sentence2,gold_label,result
87,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A lady sitting on a bench in the park.,contradiction,contradiction
88,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",An old lady pushing a stroller down a busy street.,neutral,neutral
89,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A person outside pushing a stroller.,entailment,entailment
90,A dog jumping for a Frisbee in the snow.,A pet is enjoying a game of fetch with his owner.,neutral,entailment
91,A dog jumping for a Frisbee in the snow.,A cat washes his face and whiskers with his front paw.,contradiction,contradiction
92,A dog jumping for a Frisbee in the snow.,"An animal is outside in the cold weather, playing with a plastic toy.",entailment,entailment
93,People are conversing at a dining table under a canopy.,People at a party are seated for dinner on the lawn.,neutral,contradiction
94,People are conversing at a dining table under a canopy.,People are talking underneath a covering.,entailment,entailment
95,People are conversing at a dining table under a canopy.,People are screaming at a boxing match.,contradiction,contradiction
96,A girl playing a violin along with a group of people,A girl is washing a load of laundry.,contradiction,contradiction
97,A girl playing a violin along with a group of people,A girl is playing an instrument.,entailment,entailment
98,A girl playing a violin along with a group of people,A group of people are playing in a symphony.,neutral,neutral
99,A woman within an orchestra is playing a violin.,A woman is playing a concert.,neutral,entailment
100,A woman within an orchestra is playing a violin.,A woman is playing the violin.,entailment,entailment
101,A woman within an orchestra is playing a violin.,A man is looking in a telescope.,contradiction,contradiction
102,"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men going to work,neutral,neutral
103,"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men look at the camera,entailment,entailment
104,"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men sleeping in a tent,contradiction,contradiction
105,A Ford car is making a right turn as 3 males are walking across the street behind the car.,A car making a right turn had three pedestrians cross behind it.,entailment,entailment
106,A Ford car is making a right turn as 3 males are walking across the street behind the car.,A sedan was turning a corner as walkers were crossing.,neutral,entailment
108,Three boys in white shirts are walking behind an older model Ford car.,there are three boys,entailment,entailment
109,Three boys in white shirts are walking behind an older model Ford car.,There are three girls,contradiction,contradiction
110,Three boys in white shirts are walking behind an older model Ford car.,The boys are on the street,entailment,entailment
111,Three girls blow out the candles of a cake made of Peeps.,Some people are blowing out candles,entailment,entailment
112,Three girls blow out the candles of a cake made of Peeps.,There are three girls and a cake,entailment,entailment
113,Three girls blow out the candles of a cake made of Peeps.,There are peeps in the garden.,contradiction,neutral
114,A crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd is calling for help for the people on the roof.,neutral,neutral
115,A crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd on the ground is watching 3 people on the roof's edge.,entailment,entailment
116,A crowd of people looking up at 3 people on the edge of the roof of a building.,Three people are climbing down the ladder on the building.,contradiction,contradiction
117,A woman working long hours.,A woman is working in a factory.,neutral,neutral
118,A woman working long hours.,A woman is working.,entailment,entailment
119,A woman working long hours.,A woman is sleeping.,contradiction,contradiction
120,Two teenage girls conversing next to lockers.,Girls talking next to the toilet.,contradiction,contradiction
121,Two teenage girls conversing next to lockers.,People talking next to lockers.,entailment,entailment
122,Two teenage girls conversing next to lockers.,Girls talking about their problems next to lockers.,neutral,neutral
123,An old woman watches a man look down at some balls on the ground.,An elderly female is stalking a male.,neutral,neutral
125,An old woman watches a man look down at some balls on the ground.,Two people are sleeping on the train.,contradiction,contradiction
126,"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging after surviving a horrible car wreck.,neutral,neutral
127,"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging.,entailment,entailment
128,"Two children, both wearing tan coats, are embracing one another.",Two kids are running down a highway.,contradiction,contradiction
129,2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,A couple of child relatives were hugging because they were happy to see each other.,neutral,neutral
130,2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two kids were hugging.,entailment,entailment
131,2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two youths were pushing each other.,contradiction,contradiction
132,A large number of people wearing only white and red are walking on a street.,A large number of people wearing black walking down the street.,contradiction,contradiction
133,A large number of people wearing only white and red are walking on a street.,A large number of men walking down the street in red and white.,neutral,neutral
134,A large number of people wearing only white and red are walking on a street.,A large number of people walking on a street.,entailment,entailment
135,A guy riding a motorcycle near junk cars,The man is test driving a motorcycle to decide whether or not he will buy it.,neutral,neutral
136,A guy riding a motorcycle near junk cars,A man is riding a motorcycle.,entailment,entailment
137,A guy riding a motorcycle near junk cars,A man is sitting on a parked motorcycle waiting for his friend.,contradiction,contradiction
138,"Women of India performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,entailment,entailment
139,"Women of India performing with blue streamers, in beautiful blue costumes.",dogs sniff the air,contradiction,neutral
140,"Women of India performing with blue streamers, in beautiful blue costumes.",indian women are performing a religious ritual together,neutral,neutral
141,A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,A person is swimming.,entailment,entailment
142,A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,The swimmer is eating a toasted marshmallow.,contradiction,contradiction
143,A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,The swimmer almost drowned after being sucked under a fast current.,neutral,neutral
144,The man in the black wetsuit is walking out of the water.,A man in a wetsuit walks out of the water carrying a surfboard.,neutral,neutral
145,The man in the black wetsuit is walking out of the water.,a person is walking out of water.,entailment,entailment
146,The man in the black wetsuit is walking out of the water.,A man is laying on the beach.,contradiction,contradiction
147,Five girls and two guys are crossing a overpass.,The extended family hike together on their family reunion.,neutral,contradiction
148,Five girls and two guys are crossing a overpass.,The three men sit and talk about their lives.,contradiction,contradiction
149,Five girls and two guys are crossing a overpass.,There are people outside.,entailment,entailment
150,A person with a purple shirt is painting an image of a woman on a white wall.,A woman paints a portrait of her best friend.,neutral,contradiction
151,A person with a purple shirt is painting an image of a woman on a white wall.,A woman paints a portrait of a person.,neutral,contradiction
152,A person with a purple shirt is painting an image of a woman on a white wall.,A woman paints a portrait of a monkey.,contradiction,contradiction
153,A woman is painting a mural of a woman's face.,There is a woman painting.,entailment,entailment
154,A woman is painting a mural of a woman's face.,There is a woman painting for fun.,neutral,neutral
155,A woman is painting a mural of a woman's face.,There is a man tying his shoes.,contradiction,contradiction
156,A couple is eating outside at a table and he is pointing at something.,A couple is eating inside at a table and he is pointing at something.,contradiction,contradiction
157,A couple is eating outside at a table and he is pointing at something.,The man is pointing at a purse snatcher.,neutral,neutral
158,A couple is eating outside at a table and he is pointing at something.,People are eating at a table outside.,entailment,entailment
159,Two women walk down a sidewalk along a busy street in a downtown area.,The women were walking downtown because the buses were on strike,neutral,neutral
160,Two women walk down a sidewalk along a busy street in a downtown area.,The women were picking berries in the countryside,contradiction,contradiction
161,Two women walk down a sidewalk along a busy street in a downtown area.,The women were walking downtown,entailment,entailment
162,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",The people are having a chat before going into the work building.,neutral,neutral
163,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",The group of people aren't inide of the building.,entailment,neutral
164,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",The people are sitting in the hotel lobby.,contradiction,contradiction
165,The flight attendant dressed in yellow demonstrates life vest usage.,A flight attendant is standing in front of passengers.,neutral,entailment
166,The flight attendant dressed in yellow demonstrates life vest usage.,A flight attendant is demonstrating safety procedures before takeoff.,neutral,neutral
167,The flight attendant dressed in yellow demonstrates life vest usage.,A woman is preparing drinks on an airplane.,contradiction,contradiction
168,The girls walk down the street.,Girls walk down the street.,entailment,entailment
169,The girls walk down the street.,Girls set down in the street.,contradiction,contradiction
170,The girls walk down the street.,Girls were going to the park.,neutral,neutral
171,A man wearing a red uniform and helmet stands on his motorbike.,a man sitting in a car.,contradiction,contradiction
172,A man wearing a red uniform and helmet stands on his motorbike.,a person standing.,entailment,entailment
173,A man wearing a red uniform and helmet stands on his motorbike.,a man standing on his motorbike.,entailment,entailment
174,A man of the cloth puts a black substance on a man's forehead.,The man puts something on the other mans head.,entailment,entailment
175,A man of the cloth puts a black substance on a man's forehead.,The women are at the park.,contradiction,contradiction
176,A man of the cloth puts a black substance on a man's forehead.,The men are at church.,neutral,neutral
177,A person rolls down a hill riding a wagon as another watches.,Two people are outside.,entailment,entailment
178,A person rolls down a hill riding a wagon as another watches.,A person stares at an empty hill.,contradiction,contradiction
179,A person rolls down a hill riding a wagon as another watches.,A child in a wagon rolls down a hill.,neutral,neutral
180,a boy holding onto the wall of an old brick house's raised foundation.,a boy holding onto the wall of an old brick house's raised foundation as construction occurs,neutral,neutral
181,a boy holding onto the wall of an old brick house's raised foundation.,a girl is leaning against the wall,contradiction,contradiction
182,a boy holding onto the wall of an old brick house's raised foundation.,a boy is against the wall of a raised foundation,entailment,entailment
183,"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.",Bruce Springsteen is from Florida.,neutral,neutral
184,"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.",Bruce Springsteen is a singer.,entailment,entailment
185,"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.",Bruce Springsteen is gay,neutral,neutral
186,Six dogs swimming in a river.,Six dogs swim across the river.,neutral,neutral
187,Six dogs swimming in a river.,Six dogs are outdoors.,entailment,entailment
188,Six dogs swimming in a river.,The puppies are setting on the couch.,contradiction,contradiction
189,A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman have mug shots taken because they have been arrested.,contradiction,contradiction
190,A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman take selfies while a woman walks by and judges them.,neutral,neutral
191,A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman take selfies of themselves.,entailment,neutral
192,a group of people dancing together.,People are dancing.,entailment,entailment
193,a group of people dancing together.,They are doing the tango.,neutral,neutral
194,a group of people dancing together.,No one is dancing.,contradiction,contradiction
195,Men wearing blue uniforms sit on a bus.,Men sit on the bus.,entailment,entailment
196,Men wearing blue uniforms sit on a bus.,"Men sit on the bus going to work,",neutral,neutral
197,Men wearing blue uniforms sit on a bus.,Men drive the bus into the ocean.,contradiction,contradiction
198,Two men climbing on a wooden scaffold.,Two people climbing on a wooden scaffold.,entailment,entailment
199,Two men climbing on a wooden scaffold.,Two women climbing on a wooden scaffold.,contradiction,contradiction
200,Two men climbing on a wooden scaffold.,Two sad men climbing on a wooden scaffold.,neutral,neutral
202,A bird is flapping its wings on the water.,The bird is flying over the trees.,contradiction,contradiction
203,A bird is flapping its wings on the water.,The duck is swimming in the lake.,neutral,neutral
204,A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing in a feild.,entailment,entailment
205,A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing in the field because his mother kicked him out of the house.,neutral,neutral
206,A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing video games indoors.,contradiction,contradiction
207,Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,They are going fishing.,neutral,neutral
208,Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,Six or seven people are standing on a pier.,entailment,entailment
209,Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,They are in a boat.,contradiction,contradiction
210,A person in a red shirt and black pants hunched over.,A person wears a red shirt.,entailment,entailment
211,A person in a red shirt and black pants hunched over.,The person is a woman.,neutral,neutral
212,A person in a red shirt and black pants hunched over.,The person is wearing a green shirt.,contradiction,contradiction
213,This child is on the library steps.,The child is on the school steps.,contradiction,contradiction
214,This child is on the library steps.,The child is on the steps.,entailment,entailment
215,This child is on the library steps.,The child is on the steps inside the library.,neutral,entailment
216,The tattooed basketball player is about to dunk the ball.,The man is playing football..,contradiction,contradiction
217,The tattooed basketball player is about to dunk the ball.,The person is playing basketball.,entailment,entailment
218,The tattooed basketball player is about to dunk the ball.,The player has a tattoo that says mother.,neutral,neutral
219,a boy in a red hooded top is smiling whilst looking away from his reflection.,A boy in a red hood is happy.,entailment,entailment
220,a boy in a red hooded top is smiling whilst looking away from his reflection.,The boy doesn't want to see his reflection.,neutral,neutral
221,a boy in a red hooded top is smiling whilst looking away from his reflection.,The boy is upset.,contradiction,contradiction
222,A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,the man is wearing a gray cap.,entailment,entailment
223,A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,The man is wearing a blue cap.,contradiction,contradiction
224,A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,The man is cold.,neutral,neutral
225,"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has a light jean jacket.,neutral,neutral
226,"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has a jean jacket.,entailment,entailment
227,"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has no jacket.,contradiction,contradiction
228,A newlywed couple laughing and talking amongst themselves.,The couple is having fun.,entailment,entailment
229,A newlywed couple laughing and talking amongst themselves.,The couple just got married.,entailment,entailment
230,A newlywed couple laughing and talking amongst themselves.,The couple is divorced.,contradiction,contradiction
231,A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,The man is wearing shorts and a t-shirt as he jogs.,contradiction,contradiction
232,A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,The man is moving.,entailment,entailment
233,A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,The man is wearing work attire and is walking to his job.,entailment,entailment
234,Several younger people sitting in front of a statue.,several young people sitting outside,neutral,entailment
235,Several younger people sitting in front of a statue.,several young people are sitting in an auditorium,contradiction,contradiction
236,Several younger people sitting in front of a statue.,several young people sitting in a school courtyard,neutral,contradiction
237,A group of adults stands in the bathroom looking down a small child in the bath.,The childs mom is watching her son with her friends.,neutral,contradiction
238,A group of adults stands in the bathroom looking down a small child in the bath.,People are in the house.,entailment,entailment
239,A group of adults stands in the bathroom looking down a small child in the bath.,The child is sleeping.,contradiction,contradiction
240,A goofy looking woman is singing on stage.,A woman is singing.,entailment,entailment
241,A goofy looking woman is singing on stage.,A woman is reciting poetry on the stage.,contradiction,contradiction
242,A goofy looking woman is singing on stage.,A blonde woman is singing and dancing on the stage.,neutral,neutral
243,The girl wearing a brown jacket whilst walking in snow.,A woman is eating pasta in a restaurant.,contradiction,contradiction
244,The girl wearing a brown jacket whilst walking in snow.,The lady wearing a jacket is looking for her lost dog.,neutral,neutral
245,The girl wearing a brown jacket whilst walking in snow.,The girl is walking outside.,entailment,entailment
246,"A man, woman, and child get their picture taken in front of the mountains.",A family on vacation is posing.,entailment,neutral
247,"A man, woman, and child get their picture taken in front of the mountains.",People are outdoors.,entailment,entailment
248,"A man, woman, and child get their picture taken in front of the mountains.",A family is in their car.,contradiction,contradiction
249,people are standing near water with a boat heading their direction,The people are standing.,entailment,entailment
250,people are standing near water with a boat heading their direction,People are standing near water with a large blue boat heading their direction.,neutral,neutral
251,people are standing near water with a boat heading their direction,People are waiting in line at the restaurant.,contradiction,contradiction
252,Four adults eat while sitting on a tile floor.,Two couples eat food on a kitchen floor.,neutral,neutral
253,Four adults eat while sitting on a tile floor.,Two couples play pool in a bar.,contradiction,contradiction
254,Four adults eat while sitting on a tile floor.,A group of people eat food.,entailment,entailment
255,A dog standing near snow looking at water.,A cat is laying on the couch.,contradiction,contradiction
256,A dog standing near snow looking at water.,Animal is outdoors.,entailment,entailment
257,A dog standing near snow looking at water.,The dog is thinking about going to for a swim.,neutral,neutral
258,An older man leans against a pedestal outside of an ornate building.,An older man is leaning outside his nursing home,neutral,neutral
259,An older man leans against a pedestal outside of an ornate building.,A young man is jogging,contradiction,contradiction
260,An older man leans against a pedestal outside of an ornate building.,An older man leans outside a building,entailment,entailment
261,A person in orange clothing rests above a metro entrance.,A person is sitting at a baseball game.,contradiction,contradiction
262,A person in orange clothing rests above a metro entrance.,Someone is standing near a metro station.,entailment,entailment
263,A person in orange clothing rests above a metro entrance.,A person is waiting for a train.,neutral,neutral
264,A girl in a blue dress takes off her shoes and eats blue cotton candy.,The girl is eating blue cotton candy at a carnival.,neutral,neutral
265,A girl in a blue dress takes off her shoes and eats blue cotton candy.,The girl in a blue dress is a flower girl at a wedding.,neutral,neutral
266,A girl in a blue dress takes off her shoes and eats blue cotton candy.,The girl is eating while barefoot.,entailment,entailment
267,A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,the man is asian,contradiction,contradiction
268,A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,the man is playing,entailment,entailment
269,A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,the man is at home sleeping,contradiction,contradiction
270,A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A man is making a sandwich while a crowd gasps in awe.,contradiction,contradiction
271,A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A crowd is watching someone play basketball.,entailment,entailment
272,A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A famous NBA player is playing street ball in front of a crowd.,neutral,contradiction
273,A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A group of people are standing outside.,entailment,entailment
274,A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,An angry military veteran watches as people protest the war.,neutral,neutral
275,A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A man is watching a group of people having a hot dog eating contest.,contradiction,contradiction
276,A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.,A woman on a bike.,entailment,entailment
277,A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.,A woman riding a bike to work.,neutral,neutral
278,A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.,A woman driving a car.,contradiction,contradiction
279,A skateboarding youth does a trick on a rail.,A young person on a skateboard.,entailment,entailment
280,A skateboarding youth does a trick on a rail.,A man painting a tree.,contradiction,contradiction
281,A skateboarding youth does a trick on a rail.,A young boy showing his new skateboard tricks to his friends.,neutral,neutral
282,A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,He is wearing a button-up shirt.,neutral,neutral
283,A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,His bald head is exposed.,contradiction,contradiction
284,A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,A man is crouching on a handrail.,entailment,entailment
285,"Girl in a red coat, blue head wrap and jeans is making a snow angel.",A girl in a red coat makes a snow angel for the first time.,neutral,neutral
286,"Girl in a red coat, blue head wrap and jeans is making a snow angel.",Girl in a black coat stays indoors away from the snow.,contradiction,contradiction
287,"Girl in a red coat, blue head wrap and jeans is making a snow angel.",A girl outside plays in the snow.,entailment,contradiction
288,A group of people gathered at night watching an event.,The group of friends are asleep.,contradiction,contradiction
289,A group of people gathered at night watching an event.,A group of humans are looking at the same direction.,neutral,entailment
290,A group of people gathered at night watching an event.,A group of friends are watching the music concert at night.,neutral,neutral
291,The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The football player is under duress.,entailment,entailment
