,sentence1,sentence2,result,gold_label
87,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A lady sitting on a bench in the park.,neutral,contradiction
88,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",An old lady pushing a stroller down a busy street.,neutral,neutral
89,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A person outside pushing a stroller.,entailment,entailment
90,A dog jumping for a Frisbee in the snow.,A pet is enjoying a game of fetch with his owner.,entailment,neutral
91,A dog jumping for a Frisbee in the snow.,A cat washes his face and whiskers with his front paw.,neutral,contradiction
92,A dog jumping for a Frisbee in the snow.,"An animal is outside in the cold weather, playing with a plastic toy.",entailment,entailment
93,People are conversing at a dining table under a canopy.,People at a party are seated for dinner on the lawn.,neutral,neutral
94,People are conversing at a dining table under a canopy.,People are talking underneath a covering.,entailment,entailment
95,People are conversing at a dining table under a canopy.,People are screaming at a boxing match.,neutral,contradiction
96,A girl playing a violin along with a group of people,A girl is washing a load of laundry.,neutral,contradiction
97,A girl playing a violin along with a group of people,A girl is playing an instrument.,entailment,entailment
98,A girl playing a violin along with a group of people,A group of people are playing in a symphony.,entailment,neutral
99,A woman within an orchestra is playing a violin.,A woman is playing a concert.,entailment,neutral
